experiment_num,dataset,method,lookback,hidden_size,num_layers,dropout,learning_rate,best_epoch,training_time_sec,mse_train,rmse_train,r2_train,mse_val,rmse_val,r2_val,mse_test,rmse_test,r2_test
4,POLLUTION,LSTM,10,128,2,0.1,0.001,21,0.6779191493988037,0.0015254106378910224,0.03905650570508097,0.7850619065143669,0.06064533271439726,0.24626273107069463,-0.40696131257643064,0.04524861736926023,0.21271722396002687,-3.405001559204009
5,POLLUTION,LSTM,10,128,2,0.1,0.001,34,0.8480188846588135,0.0015338993090363584,0.0391650266058426,0.7838658097081145,0.058578352465968445,0.24202965203868812,-0.359007725495053,0.04273963736176065,0.2067356702694546,-3.16074965743086
6,POLLUTION,LSTM,10,128,2,0.1,0.001,35,0.8579502105712891,0.0015476488043273198,0.0393401678228159,0.7819284361046926,0.04548328037940381,0.21326809508082498,-0.05520430012738209,0.028491789024245328,0.1687951095981318,-1.77370630028522
7,POLLUTION,LSTM,10,128,2,0.1,0.001,31,0.8088388442993164,0.0015460927685018633,0.03932038616928709,0.7821476894423915,0.05952090944322125,0.24396907476813787,-0.3808748856298485,0.04403120261358244,0.2098361327645514,-3.28648492358628
8,POLLUTION,LSTM,10,128,2,0.1,0.001,28,0.7799708843231201,0.0015507486715419998,0.039379546360287086,0.7814916490962428,0.04355293006848722,0.20869338769708834,-0.01042050415136031,0.026614629813216068,0.16313990870788198,-1.5909628324798244
9,POLLUTION,LSTM,10,128,2,0.1,0.001,28,0.7783141136169434,0.001528840938968773,0.039100395636985225,0.784578559699143,0.05245950198317923,0.2290403937806151,-0.2170514442546294,0.03714544446854463,0.1927315347018869,-2.616148963535505
10,POLLUTION,LSTM,10,128,2,0.1,0.001,31,0.8167691230773926,0.0015378366360830973,0.03921526024500025,0.7833110203629808,0.05705233011709207,0.23885629595447566,-0.3236042688579628,0.04166168317448966,0.20411193785393753,-3.0558096581170897
11,POLLUTION,LSTM,10,128,2,0.1,0.001,33,0.8615288734436035,0.001528131492731103,0.039091322473550356,0.7846785242712835,0.05601717010681604,0.2366794670156582,-0.29958873424718746,0.040569374974670495,0.20141840773541653,-2.949472280246103
12,POLLUTION,LSTM,10,128,2,0.1,0.001,25,0.736335039138794,0.0015684730800164443,0.03960395283322669,0.7789941900704392,0.0515380806729821,0.22702000060122918,-0.195674627968764,0.03515737355013743,0.187502996109762,-2.4226081217474573
13,POLLUTION,LSTM,10,128,2,0.1,0.001,22,0.6997599601745605,0.0015597016475245352,0.0394930582194458,0.7802301293841676,0.04672731403555639,0.2161650157531426,-0.08406566748095212,0.02965688701948073,0.1722117505267301,-1.8871298430148156
