experiment_num,dataset,method,lookback,best_epoch,training_time_sec,peak_memory_mb,peak_python_memory_mb,gpu_memory_mb,mse_train,rmse_train,r2_train,mse_val,rmse_val,r2_val,mse_test,rmse_test,r2_test
2,GAS,ARIMA_MLP,10,193,0.5653064170037396,0.0,0.059993,0.0,0.000362916166575446,0.01905035869939057,0.9804572790854279,0.004667642677985791,0.06832014840430158,0.8057676559352964,0.0014466698626727321,0.03803511354883448,0.38748310650557694
3,GAS,ARIMA_MLP,10,190,0.5851559999864548,0.0,0.058797,0.0,0.00027428248507757613,0.016561475932946802,0.9852301259869282,0.00438059144002476,0.06618603659401853,0.8177125794571427,0.0012563678067430896,0.035445279047329976,0.46805658572928543
4,GAS,ARIMA_MLP,10,192,0.5858413330279291,0.0,0.057989,0.0,0.00029882573175476,0.017286576634914154,0.9839084934328435,0.004572219598195625,0.06761818984707905,0.8097384501336037,0.0031412621846001994,0.05604696409797947,-0.33000362045842
5,GAS,ARIMA_MLP,10,200,0.5820245000068098,0.0,0.058466,0.0,0.0002750560408892092,0.016584813562087734,0.9851884706771599,0.0038758596029605536,0.062256402104205744,0.8387157398531673,0.0006515803570501418,0.025526072103834185,0.724122284938602
6,GAS,ARIMA_MLP,10,150,0.5673438750091009,0.0,0.058238,0.0,0.0006414917694388592,0.025327687802854392,0.965456224401807,0.005096262476974546,0.0713881115941201,0.7879317087530555,0.0008817799619471418,0.02969478004544135,0.6266562697036862
7,GAS,ARIMA_MLP,10,181,0.5804877090267837,0.0,0.058401,0.0,0.00036912489936621575,0.019212623437891447,0.9801229442077395,0.004102517156114748,0.06405089504538362,0.8292839493571331,0.0010698387543926196,0.03270838966370279,0.5470325833913137
8,GAS,ARIMA_MLP,10,192,0.5767029999988154,0.0,0.057136,0.0,0.0003687773989189274,0.019203577763503534,0.9801416568055362,0.004603566986683452,0.06784959091021442,0.8084340065061997,0.004530700498377989,0.06731047836984959,-0.9182887998323599
9,GAS,ARIMA_MLP,10,200,0.6210032910457812,0.0,0.058264,0.0,0.0003993995242991641,0.019984982469323412,0.9784926819038006,0.004506263126084913,0.06712870567860603,0.8124830647213317,0.0016497138331355585,0.04061666939983581,0.3015147282047438
10,GAS,ARIMA_MLP,10,199,0.5954017500043847,0.0,0.058367,0.0,0.00039040609037529805,0.01975869657581942,0.9789769705231152,0.004291806017431097,0.06551187691885417,0.8214071640555902,0.0007277684992206496,0.0269771847904975,0.6918643901918529
11,GAS,ARIMA_MLP,10,191,0.5964010000461712,0.0,0.058668,0.0,0.00046017434875983036,0.02145167473088827,0.9752200102995722,0.004305766613508527,0.06561834052693291,0.8208262285625096,0.0015834945434679045,0.03979314694099858,0.32955183234521646
12,GAS,ARIMA_MLP,10,189,0.5999840830336325,0.0,0.05871,0.0,0.0003197653213908473,0.017881983150390433,0.9827809146859798,0.0038510755565488853,0.06205703470638027,0.8397470663196619,0.0021885466128529515,0.04678190475870934,0.07337409373012804
13,GAS,ARIMA_MLP,10,187,0.6084349169977941,0.016384,0.059622,0.0,0.00040702286555976557,0.02017480769573196,0.9780821715865053,0.004655172396111899,0.06822882379252847,0.8062865757084268,0.0012551837147505417,0.035428572011168356,0.46855792772001925
14,GAS,ARIMA_MLP,10,196,0.6089777080342174,0.0,0.059113,0.0,0.00039661573460413654,0.019915213646961877,0.9786425865652769,0.004343219491890283,0.06590310684550678,0.8192677201543215,0.0015746756317071274,0.03968218279917484,0.333285740526405
15,GAS,ARIMA_MLP,10,200,0.5953171249711886,0.0,0.05735,0.0,0.00029238859795511075,0.01709937419776264,0.984255127506832,0.0044161028272151565,0.06645376458271689,0.8162348613774125,0.0012621956407457074,0.0355273928222394,0.46558909340696
1,LAKEERIE,ARIMA_MLP,10,9,0.34259174996986985,0.0,0.090539,0.0,0.0025642626400901635,0.05063854895324474,0.9294055669741833,0.002101493599377733,0.04584205055816911,0.9225964831827088,0.0015027787324296284,0.038765690145148045,0.9593910898573929
2,LAKEERIE,ARIMA_MLP,10,2,0.2759958750102669,0.0,0.074385,0.0,0.0025459098218462,0.050457009640348285,0.929910822082651,0.002106490149332453,0.04589651565568407,0.9224124471530187,0.0014571713025907204,0.03817291320544871,0.9606235188106355
3,LAKEERIE,ARIMA_MLP,10,6,0.31399116601096466,0.0,0.076052,0.0,0.002542077611801949,0.050419020337586384,0.9300163232474226,0.0021144078245398895,0.045982690488268405,0.9221208184246448,0.0015209846057651494,0.03899980263751535,0.9588991207747891
4,LAKEERIE,ARIMA_MLP,10,4,0.3018747079768218,0.0,0.072652,0.0,0.0025917100800619476,0.05090884088311133,0.9286499359274547,0.0020896292471536283,0.045712462711536644,0.9230334783689785,0.001487961472316291,0.03857410364890273,0.9597914899771959
